date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-21,5.8,6.05,5.86,5.55,353424.5,-0.31,-5.02,6.286,6.185,5.849,395835.59,339118.02,225325.61
2019-05-20,6.89,6.89,6.17,6.17,519098.19,-0.69,-10.06,6.308,6.158,5.863,369018.13,323252.61,213937.46
2019-05-17,6.3,6.86,6.86,6.24,535132.31,0.62,9.94,6.314,6.049,5.86,321298.6,288663.97,194973.87
2019-05-16,6.28,6.52,6.24,6.15,273847.28,-0.06,-0.95,6.164,5.883,5.828,285269.44,240564.64,176056.16
2019-05-15,5.89,6.35,6.3,5.89,297675.69,0.33,5.53,6.166,5.769,5.817,287653.17,220811.71,168987.85
2019-05-14,6.1,6.26,5.97,5.8,219337.2,-0.23,-3.71,6.084,5.676,5.806,282400.45,198330.99,159087.18
2019-05-13,6.0,6.36,6.2,5.9,280500.53,0.09,1.47,6.008,5.631,5.808,277487.08,186177.77,155947.44
2019-05-10,5.86,6.5,6.11,5.84,354986.5,-0.14,-2.24,5.784,5.586,5.809,256029.33,164060.28,151938.48
2019-05-09,5.83,6.38,6.25,5.52,285765.91,0.36,6.11,5.602,5.542,5.824,195859.84,138721.37,150011.05
2019-05-08,5.59,6.1,5.89,5.4,271412.09,0.3,5.37,5.372,5.506,5.821,153970.26,121762.86,150470.77
2019-05-07,5.06,5.59,5.59,5.06,194770.38,0.51,10.04,5.268,5.512,5.819,114261.52,111533.21,143484.55
2019-05-06,5.21,5.51,5.08,5.03,173211.77,-0.12,-2.31,5.254,5.567,5.833,94868.45,104622.32,141418.34
2019-04-30,5.1,5.25,5.2,5.03,54139.06,0.1,1.96,5.388,5.671,5.873,72091.24,101283.78,148640.04
2019-04-29,5.42,5.44,5.1,5.05,76318.0,-0.27,-5.03,5.482,5.772,5.896,81582.91,111547.68,157834.87
2019-04-26,5.48,5.55,5.37,5.33,72868.41,-0.15,-2.72,5.64,5.865,5.915,89555.46,117163.98,165496.92
2019-04-25,5.72,5.88,5.52,5.51,97805.0,-0.23,-4.0,5.756,5.936,5.917,108804.89,119843.37,179417.56
2019-04-24,5.7,5.77,5.75,5.65,59325.71,0.08,1.41,5.88,5.985,5.931,114376.19,125717.11,194504.16
2019-04-23,5.94,5.94,5.67,5.61,101597.41,-0.22,-3.73,5.954,6.031,5.957,130476.32,139816.67,225015.15
2019-04-22,5.95,6.06,5.89,5.87,116180.77,-0.06,-1.01,6.062,6.105,6.022,141512.46,161300.73,250808.89
2019-04-19,6.12,6.12,5.95,5.85,169115.56,-0.19,-3.09,6.09,6.136,6.045,144772.51,179178.68,274774.1
2019-04-18,6.16,6.26,6.14,6.11,125661.5,0.02,0.33,6.116,6.125,6.035,130881.85,175435.9,277391.35
2019-04-17,6.18,6.18,6.12,6.05,139826.34,-0.09,-1.45,6.09,6.098,5.99,137058.02,178214.36,279334.45
2019-04-16,6.02,6.22,6.21,5.93,156778.11,0.18,2.98,6.108,6.075,5.94,149157.03,195996.3,275764.1
2019-04-15,6.25,6.31,6.03,6.02,132481.02,-0.05,-0.82,6.148,6.02,5.89,181089.0,204122.05,271558.6
2019-04-12,6.01,6.14,6.08,5.94,99662.3,0.07,1.17,6.182,5.965,5.844,213584.85,213829.87,268350.45
2019-04-11,6.25,6.27,6.01,6.0,156542.33,-0.2,-3.22,6.134,5.897,5.791,219989.94,238991.76,266968.97
2019-04-10,6.36,6.36,6.21,6.2,200321.39,-0.2,-3.12,6.106,5.877,5.746,219370.69,263291.22,264617.59
2019-04-09,6.2,6.6,6.41,6.13,316437.97,0.21,3.39,6.042,5.883,5.694,242835.57,310213.63,259872.46
2019-04-08,5.85,6.22,6.2,5.85,294960.25,0.36,6.16,5.892,5.939,5.628,227155.1,340317.05,248314.12
